Index,Activation,Epochs,Learning Rate,MSE Training Data,MSE Testing data
257,sigmoid,2,0.007,19.475233460511358,4.890766803545473
258,sigmoid,2,0.008,18.419961088415192,4.550811928249448
259,sigmoid,2,0.009000000000000001,17.712385669251454,4.305767246491225
260,sigmoid,2,0.010000000000000002,17.27869798237314,4.13795651962141
261,sigmoid,1,0.001,38.26031617482847,10.204014038040999
262,sigmoid,1,0.002,36.02197390379432,9.593453357798193
263,sigmoid,1,0.003,33.86752947459974,9.00289544552638
264,sigmoid,1,0.004,31.80557319634786,8.434520464141343
265,sigmoid,1,0.005,29.844636102331215,7.890497115966092
266,sigmoid,1,0.006,27.993130606331466,7.3729677710013455
267,sigmoid,1,0.007,26.259289216525328,6.884033086029701
268,sigmoid,1,0.008,24.65110196429119,6.425736278318379
269,sigmoid,1,0.009000000000000001,23.1762532666926,6.000047233329129
270,sigmoid,1,0.010000000000000002,21.8420589923903,5.608846638882417
271,tanh,1000,0.001,16.923440187646605,3.9280994050199047
272,tanh,1000,0.002,132.58745982815157,35.049525901440546
273,tanh,1000,0.003,157.62937246972666,41.539626378357305
274,tanh,1000,0.004,157.59251872147763,41.530090425048044
275,tanh,1000,0.005,157.76079742444853,41.57363241319143
276,tanh,1000,0.006,157.8199055800001,41.588926400000005
